Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{},0.0221,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0490,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0723,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0152,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0134,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0536,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0827,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0161,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0160,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",0.7475,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",1.1717,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",0.6830,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",1.0523,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",0.7801,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",1.1620,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",0.6807,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",1.0262,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",1.9441,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",2.9025,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",1.6481,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",2.6277,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",1.9568,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",2.9389,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",1.7120,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",2.5519,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",1.6390,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",2.5465,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",1.5541,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",2.3979,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",1.6810,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",2.6135,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",1.5908,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",2.3782,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",4.1883,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",6.5753,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",3.9515,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",6.0298,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",4.2046,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",6.3807,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",3.9254,True,0.6667
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",6.0449,True,0.6667
